Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
chatbot_log	20	25	-	44	2018-08-05 19:45:28	2019-02-05 12:17:55	4	4	183	2	2	2	1	0	0	0	0		20	0	20
checklist_types	13	31	43	43	2018-10-01 19:16:20	2019-01-02 10:34:09	4	4	92	2	3	2.85	1.5	1	1	0.08	0.08	1	10	1	11
checklists	10	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	5	6	5.6	1.2	3	3	0.3	0.3	1	20	1	21
checklists_kb	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	11	12	11.64	1.09	17	7	0.77	0.32	2.43	20	2	22
checklists_post	21	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	6	6	6	1	0	0	0	0		20	0	20
checklists_results	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	7	7	7	1	0	0	0	0		20	0	20
code_items	20	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	4	4	4	1	0	0	0	0		20	0	20
comments	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	7	7	7	1	0	0	0	0		20	0	20
counter	5	18	22	22	2015-10-03 13:25:05	2015-12-12 21:26:29	1	1	70	4	4	4	1	0	0	0	0		10	0	10
groupMembers	5	18	22	22	2015-10-03 13:25:05	2015-12-12 21:26:29	1	1	70	5	5	5	1	0	0	0	0		10	0	10
groupmembers	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	5	5	5	1	0	0	0	0		20	0	20
groups	27	18	-	44	2015-10-03 13:25:05	2019-02-05 12:17:55	1	4	1220	4	4	4	1	0	0	0	0		20	0	20
kb_items	20	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	3	3	3	1	0	0	0	0		20	0	20
logs	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	8	8	8	1	0	0	0	0		20	0	20
parameters	23	0	22	22	2015-03-17 17:55:55	2015-12-12 21:26:29	0	1	270	7	8	7.26	1.14	1	1	0.04	0.04	1	10	1	11
privileges	28	17	-	44	2015-08-23 19:54:14	2019-02-05 12:17:55	1	4	1261	2	2	2	1	0	0	0	0		20	0	20
project_sprints	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	5	5	5	1	0	0	0	0		20	0	20
projects	45	0	-	44	2015-03-17 17:55:55	2019-02-05 12:17:55	0	4	1420	5	9	7.31	1.8	8	5	0.18	0.11	1.6	20	2	22
question_pre_results	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	4	4	4	1	0	0	0	0		20	0	20
question_sprint_results	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	5	5	5	1	0	0	0	0		20	0	20
questionlist	23	0	22	22	2015-03-17 17:55:55	2015-12-12 21:26:29	0	1	270	8	9	8.26	1.12	1	1	0.04	0.04	1	10	1	11
questions_pre	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	2	3	3.18	1.5	7	5	0.32	0.23	1.4	20	2	22
questions_sprint	22	23	-	44	2017-07-10 21:50:18	2019-02-05 12:17:55	3	4	574	2	3	3.23	1.5	7	5	0.32	0.23	1.4	20	2	22
techhacks	23	0	22	22	2015-03-17 17:55:55	2015-12-12 21:26:29	0	1	270	3	3	3	1	0	0	0	0		10	0	10
users	28	17	-	44	2015-08-23 19:54:14	2019-02-05 12:17:55	1	4	1261	5	8	7.82	1.6	4	3	0.14	0.11	1.33	20	1	21
