Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
ActivatedWarranties	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	6	6	6	1	2	1	0.29	0.14	2	20	1	21
Survey	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	6	7	6.71	1.17	1	1	0.14	0.14	1	20	1	21
SurveyAnswer	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	6	8	7	1.33	2	2	0.29	0.29	1	20	1	21
SurveyAnswer_Revisions	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	7	7	7	1	2	1	0.29	0.14	2	20	1	21
SurveyPrize	1	6	-	6	2014-05-15 18:49:16	2014-05-15 18:49:16	1	1	0	11	11	11	1	0	0	0	0		20	0	20
SurveyPrize_Revisions	1	6	-	6	2014-05-15 18:49:16	2014-05-15 18:49:16	1	1	0	11	11	11	1	0	0	0	0		20	0	20
SurveyQuestion	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	8	7	7.57	0.88	2	1	0.29	0.14	2	20	1	21
SurveyQuestion_Revisions	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	11	11	11	1	1	1	0.14	0.14	1	20	1	21
SurveyUser	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	5	5	5	1	0	0	0	0		20	0	20
SurveyUserAnswer	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	7	6	6.43	0.86	3	1	0.43	0.14	3	20	1	21
Survey_Revisions	7	0	-	6	2014-04-30 18:45:46	2014-05-15 18:49:16	0	1	15	7	7	7	1	2	1	0.29	0.14	2	20	1	21
