Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
CATEGORY	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
EUROSTD	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
FUEL	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
LOAD	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
MAPCATEGORYFUEL	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPEUROSTDPOLLUTANT	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPFUELSEGMENT	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPLOADPARAMETERS	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPMODESLOPE	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPPOLLUTANTMODE	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPSEGMENTEUROSTD	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MAPSLOPELOAD	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	2	2	2	1	0	0	0	0		20	0	20
MODE	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
PARAMETERS	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	14	14	14	1	0	0	0	0		20	0	20
POLLUTANT	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
PRIMARYKEY	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	4	4	4	1	0	0	0	0		20	0	20
ROADSLOPE	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
SEGMENT	4	2	-	5	2017-11-07 14:22:01	2017-12-06 13:24:06	1	1	28	3	3	3	1	0	0	0	0		20	0	20
ZCATEGORY	2	0	1	1	2017-11-07 08:24:32	2017-11-07 10:09:03	0	1	0	4	4	4	1	0	0	0	0		10	0	10
