Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
#__assets	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	9	9	9	1	0	0	0	0		10	0	10
#__associations	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	4	4	4	1	0	0	0	0		10	0	10
#__categories	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	29	29	29	1	0	0	0	0		10	0	10
#__content	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	32	32	32	1	0	0	0	0		10	0	10
#__content_frontpage	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	2	2	2	1	0	0	0	0		10	0	10
#__content_types	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	9	9	9	1	0	0	0	0		10	0	10
#__contentitem_tag_map	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	7	7	7	1	0	0	0	0		10	0	10
#__extensions	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	17	17	17	1	0	0	0	0		10	0	10
#__finder_filters	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	14	14	14	1	0	0	0	0		10	0	10
#__finder_links	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	19	19	19	1	0	0	0	0		10	0	10
#__finder_links_terms0	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms1	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms2	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms3	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms4	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms5	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms6	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms7	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms8	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_terms9	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_termsa	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_termsb	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_termsc	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_termsd	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
#__finder_links_termse	1	0	0	0	2015-05-31 20:42:27	2015-05-31 20:42:27	0	0	0	3	3	3	1	0	0	0	0		10	0	10
