Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
bootstraps	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	10	10	10	1	0	0	0	0		20	0	20
images	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	5	5	5	1	2	1	0.18	0.09	2	20	1	21
layouts	8	3	-	10	2015-09-16 21:43:49	2016-05-30 14:19:09	1	1	256	2	2	2	1	0	0	0	0		20	0	20
localization	1	0	0	0	2015-08-10 21:19:59	2015-08-10 21:19:59	0	0	0	6	6	6	1	0	0	0	0		10	0	10
localization_text	1	0	0	0	2015-08-10 21:19:59	2015-08-10 21:19:59	0	0	0	4	4	4	1	0	0	0	0		10	0	10
obligations	10	1	-	10	2015-08-17 22:02:52	2016-05-30 14:19:09	1	1	286	6	6	6	1	0	0	0	0		20	0	20
page	1	0	0	0	2015-08-10 21:19:59	2015-08-10 21:19:59	0	0	0	5	5	5	1	0	0	0	0		10	0	10
posts	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	6	9	8.18	1.5	10	2	0.91	0.18	5	20	2	22
posts_tags	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	3	2	2.27	0.67	5	1	0.45	0.09	5	20	1	21
roles	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	2	2	2	1	0	0	0	0		20	0	20
settings	8	3	-	10	2015-09-16 21:43:49	2016-05-30 14:19:09	1	1	256	2	10	7.5	5	8	2	1	0.25	4	20	2	22
tags	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	10	6	6.91	0.6	7	3	0.64	0.27	2.33	20	2	22
themes	7	4	-	10	2015-10-07 16:07:15	2016-05-30 14:19:09	1	1	235	2	2	2	1	0	0	0	0		20	0	20
user	1	0	0	0	2015-08-10 21:19:59	2015-08-10 21:19:59	0	0	0	6	6	6	1	0	0	0	0		10	0	10
users	11	0	-	10	2015-08-10 21:19:59	2016-05-30 14:19:09	0	1	293	15	15	15	1	0	0	0	0		20	0	20
