;0;1;2;3;4;5;6;
address;0;0;0;0;0;0;0;
affiliate;0;0;0;0;0;0;0;
affiliate_transaction;0;0;0;0;0;0;0;
attribute;0;0;0;0;0;0;0;
attribute_description;0;0;0;0;0;0;0;
attribute_group;0;0;0;0;0;0;0;
attribute_group_description;0;0;0;0;0;0;0;
banner;0;0;0;0;0;0;0;
banner_image;0;0;0;0;0;0;0;
banner_image_description;0;0;0;0;0;0;0;
category;0;0;0;0;0;0;0;
category_description;0;0;0;0;0;0;0;
category_filter;0;0;0;0;0;0;0;
category_path;0;0;0;0;0;0;0;
category_to_layout;0;0;0;0;0;0;0;
category_to_store;0;0;0;0;0;0;0;
country;0;0;0;0;0;0;0;
coupon;0;0;0;0;0;0;0;
coupon_category;0;0;0;0;0;0;0;
coupon_history;0;0;0;0;0;0;0;
coupon_product;0;0;0;0;0;0;0;
currency;0;0;0;0;0;0;0;
custom_field;0;0;0;0;0;0;0;
custom_field_description;0;0;0;0;0;0;0;
custom_field_to_customer_group;0;0;0;0;0;0;0;
custom_field_value;0;0;0;0;0;0;0;
custom_field_value_description;0;0;0;0;0;0;0;
customer;0;0;0;0;0;0;0;
customer_ban_ip;0;0;0;0;0;0;0;
customer_field;0;0;0;0;0;0;0;
customer_group;0;0;0;0;0;0;0;
customer_group_description;0;0;0;0;0;0;0;
customer_history;0;0;0;0;0;0;0;
customer_ip;0;0;0;0;0;0;0;
customer_online;0;0;0;0;0;0;0;
customer_reward;0;0;0;0;0;0;0;
customer_transaction;0;0;0;0;0;0;0;
download;0;0;0;0;0;0;0;
download_description;0;0;0;0;0;0;0;
extension;0;0;0;0;0;0;0;
filter;0;0;0;0;0;0;0;
filter_description;0;0;0;0;0;0;0;
filter_group;0;0;0;0;0;0;0;
filter_group_description;0;0;0;0;0;0;0;
geo_zone;0;0;0;0;0;0;0;
information;0;0;0;0;0;0;0;
information_description;0;0;0;0;0;0;0;
information_to_layout;0;0;0;0;0;0;0;
information_to_store;0;0;0;0;0;0;0;
language;0;0;0;0;0;0;0;
layout;0;0;0;0;0;0;0;
layout_route;0;0;0;0;0;0;0;
length_class;0;0;0;0;0;0;0;
length_class_description;0;0;0;0;0;0;0;
manufacturer;0;0;0;0;0;0;0;
manufacturer_to_store;0;0;0;0;0;0;0;
option;0;0;0;0;0;0;0;
option_description;0;0;0;0;0;0;0;
option_value;0;0;0;0;0;0;0;
option_value_description;0;0;0;0;0;0;0;
order;0;0;0;0;0;0;0;
order_download;0;0;0;0;0;0;0;
order_field;0;0;0;0;0;0;0;
order_fraud;0;0;0;0;0;0;0;
order_history;0;0;0;0;0;0;0;
order_option;0;0;0;0;0;0;0;
order_product;0;0;0;0;0;0;0;
order_status;0;0;0;0;0;0;0;
order_total;0;0;0;0;0;0;0;
order_voucher;0;0;0;0;0;0;0;
product;0;0;0;0;0;0;0;
product_attribute;0;0;0;0;0;0;0;
product_description;0;0;0;0;0;0;0;
product_discount;0;0;0;0;0;0;0;
product_filter;0;0;0;0;0;0;0;
product_image;0;0;0;0;0;0;0;
product_option;0;0;0;0;0;0;0;
product_option_value;0;0;0;0;0;0;0;
product_related;0;0;0;0;0;0;0;
product_reward;0;0;0;0;0;0;0;
product_special;0;0;0;0;0;0;0;
product_to_category;0;0;0;0;0;0;0;
product_to_download;0;0;0;0;0;0;0;
product_to_layout;0;0;0;0;0;0;0;
product_to_store;0;0;0;0;0;0;0;
return;0;0;0;0;0;0;0;
return_action;0;0;0;0;0;0;0;
return_history;0;0;0;0;0;0;0;
return_reason;0;0;0;0;0;0;0;
return_status;0;0;0;0;0;0;0;
review;0;0;0;0;0;0;0;
setting;0;0;0;0;0;0;0;
stock_status;0;0;0;0;0;0;0;
store;0;0;0;0;0;0;0;
tax_class;0;0;0;0;0;0;0;
tax_rate;0;0;0;0;0;0;0;
tax_rate_to_customer_group;0;0;0;0;0;0;0;
tax_rule;0;0;0;0;0;0;0;
url_alias;0;0;0;0;0;0;0;
user;0;0;0;0;0;0;0;
user_group;0;0;0;0;0;0;0;
voucher;0;0;0;0;0;0;0;
voucher_history;0;0;0;0;0;0;0;
voucher_theme;0;0;0;0;0;0;0;
voucher_theme_description;0;0;0;0;0;0;0;
weight_class;0;0;0;0;0;0;0;
weight_class_description;0;0;0;0;0;0;0;
zone;0;0;0;0;0;0;0;
zone_to_geo_zone;0;0;0;0;0;0;0;
