Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
attribute	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	8	8	8	1	1	1	0.17	0.17	1	10	1	11
basename	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	5	5	5	1	1	1	0.17	0.17	1	10	1	11
member	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	4	4	4	1	0	0	0	0		10	0	10
occurrence	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	8	8	8	1	0	0	0	0		10	0	10
story	4	0	3	3	2016-12-23 18:01:57	2016-12-30 15:45:44	0	1	6	5	5	5	1	0	0	0	0		10	0	10
topic	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	4	4	4	1	0	0	0	0		10	0	10
topicdb.attribute	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	8	8	8	1	3	2	0.3	0.2	1.5	20	1	21
topicdb.basename	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	5	5	5	1	3	2	0.3	0.2	1.5	20	1	21
topicdb.member	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	4	4	4	1	3	2	0.3	0.2	1.5	20	1	21
topicdb.occurrence	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	8	8	8	1	3	2	0.3	0.2	1.5	20	1	21
topicdb.topic	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	4	4	4	1	1	1	0.1	0.1	1	20	1	21
topicdb.topicmap	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	5	8	5.4	1.6	12	6	1.2	0.6	2	20	2	22
topicdb.topicref	10	6	-	15	2017-02-24 19:19:47	2019-03-24 18:34:24	1	3	757	3	3	3	1	3	2	0.3	0.2	1.5	20	1	21
topicmap	2	4	5	5	2017-01-07 10:45:57	2017-01-11 20:04:17	1	1	4	5	5	5	1	0	0	0	0		10	0	10
topicref	6	0	5	5	2016-12-23 18:01:57	2017-01-11 20:04:17	0	1	19	3	3	3	1	0	0	0	0		10	0	10
